title,genre,overview
Your Name.,"['Romance', 'Animation', 'Drama']","['high', 'schoolers', 'mitsuha', 'taki', 'complete', 'strangers', 'living', 'separate', 'lives', 'one', 'night', 'suddenly', 'switch', 'places', 'mitsuha', 'wakes', 'taki', '’', 's', 'body', 'bizarre', 'occurrence', 'continues', 'happen', 'randomly', 'two', 'must', 'adjust', 'lives', 'around']"
Pulp Fiction,"['Thriller', 'Crime']","['burgerloving', 'hit', 'man', 'philosophical', 'partner', 'drugaddled', 'gangsters', 'moll', 'washedup', 'boxer', 'converge', 'sprawling', 'comedic', 'crime', 'caper', 'adventures', 'unfurl', 'three', 'stories', 'ingeniously', 'trip', 'back', 'forth', 'time']"
The Lord of the Rings: The Return of the King,"['Adventure', 'Fantasy', 'Action']","['aragorn', 'revealed', 'heir', 'ancient', 'kings', 'gandalf', 'members', 'broken', 'fellowship', 'struggle', 'save', 'gondor', 'saurons', 'forces', 'meanwhile', 'frodo', 'sam', 'take', 'ring', 'closer', 'heart', 'mordor', 'dark', 'lords', 'realm']"
Forrest Gump,"['Comedy', 'Drama', 'Romance']","['man', 'low', 'iq', 'accomplished', 'great', 'things', 'life', 'present', 'significant', 'historic', 'events—in', 'case', 'far', 'exceeding', 'anyone', 'imagined', 'could', 'despite', 'achieved', 'one', 'true', 'love', 'eludes']"
"The Good, the Bad and the Ugly",['Western'],"['civil', 'war', 'rages', 'union', 'confederacy', 'three', 'men', '–', 'quiet', 'loner', 'ruthless', 'hitman', 'mexican', 'bandit', '–', 'comb', 'american', 'southwest', 'search', 'strongbox', 'containing', '200000', 'stolen', 'gold']"
GoodFellas,"['Drama', 'Crime']","['true', 'story', 'henry', 'hill', 'halfirish', 'halfsicilian', 'brooklyn', 'kid', 'adopted', 'neighbourhood', 'gangsters', 'early', 'age', 'climbs', 'ranks', 'mafia', 'family', 'guidance', 'jimmy', 'conway']"
Taylor Swift: Reputation Stadium Tour,['Music'],"['taylor', 'swift', 'takes', 'stage', 'dallas', 'reputation', 'stadium', 'tour', 'celebrates', 'monumental', 'night', 'music', 'memories', 'visual', 'magic']"
Seven Samurai,"['Action', 'Drama']","['samurai', 'answers', 'villages', 'request', 'protection', 'falls', 'hard', 'times', 'town', 'needs', 'protection', 'bandits', 'samurai', 'gathers', 'six', 'others', 'help', 'teach', 'people', 'defend', 'villagers', 'provide', 'soldiers', 'food']"
Life Is Beautiful,"['Comedy', 'Drama']","['touching', 'story', 'italian', 'book', 'seller', 'jewish', 'ancestry', 'lives', 'little', 'fairy', 'tale', 'creative', 'happy', 'life', 'would', 'come', 'abrupt', 'halt', 'entire', 'family', 'deported', 'concentration', 'camp', 'world', 'war', 'ii', 'locked', 'tries', 'convince', 'son', 'whole', 'thing', 'game']"
Grave of the Fireflies,"['Animation', 'Drama', 'War']","['final', 'months', 'world', 'war', 'ii', '14yearold', 'seita', 'sister', 'setsuko', 'orphaned', 'mother', 'killed', 'air', 'raid', 'kobe', 'japan', 'falling', 'aunt', 'move', 'abandoned', 'bomb', 'shelter', 'surviving', 'relatives', 'emergency', 'rations', 'depleted', 'seita', 'setsuko', 'struggle', 'survive']"
Cinema Paradiso,"['Drama', 'Romance']","['filmmaker', 'recalls', 'childhood', 'fell', 'love', 'movies', 'villages', 'theater', 'formed', 'deep', 'friendship', 'theaters', 'projectionist']"
Impossible Things,"['Family', 'Drama']","['matilde', 'woman', 'death', 'husband—a', 'man', 'constantly', 'abused', 'her—finds', 'new', 'best', 'friend', 'miguel', 'young', 'insecure', 'disoriented', 'even', 'dealer', 'neighbor']"
Fight Club,['Drama'],"['tickingtimebomb', 'insomniac', 'slippery', 'soap', 'salesman', 'channel', 'primal', 'male', 'aggression', 'shocking', 'new', 'form', 'therapy', 'concept', 'catches', 'underground', 'fight', 'clubs', 'forming', 'every', 'town', 'eccentric', 'gets', 'way', 'ignites', 'outofcontrol', 'spiral', 'toward', 'oblivion']"
Gabriel's Inferno,"['Romance', 'Drama']","['intriguing', 'sinful', 'exploration', 'seduction', 'forbidden', 'love', 'redemption', 'gabriels', 'inferno', 'captivating', 'wildly', 'passionate', 'tale', 'one', 'mans', 'escape', 'personal', 'hell', 'tries', 'earn', 'impossibleforgiveness', 'love']"
Psycho,"['Horror', 'Drama', 'Thriller']","['larcenous', 'real', 'estate', 'clerk', 'marion', 'crane', 'goes', 'lam', 'wad', 'cash', 'hopes', 'starting', 'new', 'life', 'ends', 'notorious', 'bates', 'motel', 'manager', 'norman', 'bates', 'cares', 'housebound', 'mother']"
City of God,"['Drama', 'Crime']","['slums', 'rio', 'two', 'kids', 'paths', 'diverge', 'one', 'struggles', 'become', 'photographer', 'kingpin']"
Once Upon a Time in America,"['Drama', 'Crime']","['former', 'prohibitionera', 'jewish', 'gangster', 'returns', 'lower', 'east', 'side', 'manhattan', 'thirty', 'years', 'later', 'must', 'confront', 'ghosts', 'regrets', 'old', 'life']"
Interstellar,"['Adventure', 'Drama', 'Science Fiction']","['adventures', 'group', 'explorers', 'make', 'use', 'newly', 'discovered', 'wormhole', 'surpass', 'limitations', 'human', 'space', 'travel', 'conquer', 'vast', 'distances', 'involved', 'interstellar', 'voyage']"
One Flew Over the Cuckoo's Nest,['Drama'],"['petty', 'criminal', 'fakes', 'insanity', 'serve', 'sentence', 'mental', 'ward', 'rather', 'prison', 'soon', 'finds', 'leader', 'patients—and', 'enemy', 'cruel', 'domineering', 'nurse', 'runs', 'ward']"
Gabriel's Inferno: Part II,"['Romance', 'Drama']","['professor', 'gabriel', 'emerson', 'finally', 'learns', 'truth', 'julia', 'mitchells', 'identity', 'realization', 'comes', 'moment', 'late', 'julia', 'done', 'waiting', 'wellrespected', 'dante', 'specialist', 'remember', 'wants', 'nothing', 'gabriel', 'win', 'back', 'heart', 'finds', 'love', 'anothers', 'arms']"
Dou kyu sei – Classmates,"['Romance', 'Animation']","['rihito', 'sajo', 'honor', 'student', 'perfect', 'score', 'entrance', 'exam', 'hikaru', 'kusakabe', 'band', 'popular', 'among', 'girls', 'would', 'never', 'crossed', 'paths', 'one', 'day', 'started', 'talking', 'practice', 'school', '’', 's', 'upcoming', 'chorus', 'festival', 'school', 'two', 'meet', 'regularly', 'hikaru', 'helps', 'rihito', 'improve', 'singing', 'skills', 'listen', 'other', '’', 's', 'voice', 'harmonize', 'hearts', 'start', 'beat', 'together']"
The Legend of Hei,"['Animation', 'Fantasy', 'Action']","['cat', 'spirit', 'luo', 'xiaoheis', 'home', 'deforested', 'humans', 'must', 'find', 'new', 'one', 'runs', 'group', 'spirit', 'creatures', 'take', 'wing', 'dreams', 'reconquering', 'land', 'say', 'rightfully', 'however', 'run', 'human', 'known', 'wuxian', 'separates', 'luo', 'xiaohei', 'spirits', 'two', 'go', 'journey', 'cat', 'spirit', 'learning', 'control', 'abilities', 'well', 'forming', 'thoughts', 'whether', 'ally', 'spirits', 'humans']"
Gabriel's Inferno: Part III,"['Romance', 'Drama']","['final', 'part', 'film', 'adaption', 'erotic', 'romance', 'novel', 'gabriels', 'inferno', 'written', 'anonymous', 'canadian', 'author', 'pen', 'name', 'sylvain', 'reynard']"
The Lord of the Rings: The Fellowship of the Ring,"['Adventure', 'Fantasy', 'Action']","['young', 'hobbit', 'frodo', 'baggins', 'inheriting', 'mysterious', 'ring', 'uncle', 'bilbo', 'must', 'leave', 'home', 'order', 'keep', 'falling', 'hands', 'evil', 'creator', 'along', 'way', 'fellowship', 'formed', 'protect', 'ringbearer', 'make', 'sure', 'ring', 'arrives', 'final', 'destination', 'mt', 'doom', 'place', 'destroyed']"
Spider-Man: Into the Spider-Verse,"['Action', 'Adventure', 'Animation', 'Science Fiction']","['struggling', 'find', 'place', 'world', 'juggling', 'school', 'family', 'brooklyn', 'teenager', 'miles', 'morales', 'unexpectedly', 'bitten', 'radioactive', 'spider', 'develops', 'unfathomable', 'powers', 'like', 'one', 'spiderman', 'wrestling', 'implications', 'new', 'abilities', 'miles', 'discovers', 'super', 'collider', 'created', 'madman', 'wilson', 'kingpin', 'fisk', 'causing', 'others', 'across', 'spiderverse', 'inadvertently', 'transported', 'dimension']"
A Dog's Will,"['Comedy', 'Drama', 'Fantasy']","['lively', 'joão', 'grilo', 'sly', 'chicó', 'poor', 'guys', 'living', 'hinterland', 'cheat', 'bunch', 'people', 'small', 'northeastern', 'brazil', 'die', 'judged', 'christ', 'devil', 'virgin', 'mary', 'admitted', 'paradise']"
Howl's Moving Castle,"['Fantasy', 'Animation', 'Adventure']","['sophie', 'young', 'milliner', 'turned', 'elderly', 'woman', 'witch', 'enters', 'shop', 'curses', 'encounters', 'wizard', 'named', 'howl', 'gets', 'caught', 'resistance', 'fighting', 'king']"
Harakiri,"['Action', 'Drama', 'History']","['downonhisluck', 'veteran', 'tsugumo', 'hanshirō', 'enters', 'courtyard', 'prosperous', 'house', 'iyi', 'unemployed', 'family', 'hopes', 'find', 'place', 'commit', 'seppuku—and', 'worthy', 'second', 'deliver', 'coup', 'de', 'grâce', 'suicide', 'ritual', 'senior', 'counselor', 'iyi', 'clan', 'questions', 'ronin', '’', 's', 'resolve', 'integrity', 'suspecting', 'hanshirō', 'seeking', 'charity', 'rather', 'honorable', 'end', 'follows', 'pair', 'interlocking', 'stories', 'lay', 'bare', 'difference', 'honor', 'respect', 'promises', 'examine', 'legendary', 'foundations', 'samurai', 'code']"
A Silent Voice: The Movie,"['Animation', 'Drama']","['shouya', 'ishida', 'starts', 'bullying', 'new', 'girl', 'class', 'shouko', 'nishimiya', 'deaf', 'teasing', 'continues', 'rest', 'class', 'starts', 'turn', 'shouya', 'lack', 'compassion', 'leave', 'elementary', 'school', 'shouko', 'shouya', 'speak', 'older', 'wiser', 'shouya', 'tormented', 'past', 'behaviour', 'decides', 'must', 'see', 'shouko', 'wants', 'atone', 'sins', 'already', 'late']"
Hope,['Drama'],"['8yearold', 'sowon', 'narrowly', 'survives', 'brutal', 'sexual', 'assault', 'family', 'labors', 'help', 'heal', 'coping', 'rage', 'grief']"
The Empire Strikes Back,"['Adventure', 'Action', 'Science Fiction']","['epic', 'saga', 'continues', 'luke', 'skywalker', 'hopes', 'defeating', 'evil', 'galactic', 'empire', 'learns', 'ways', 'jedi', 'aging', 'master', 'yoda', 'darth', 'vader', 'determined', 'ever', 'capture', 'luke', 'meanwhile', 'rebel', 'leader', 'princess', 'leia', 'cocky', 'han', 'solo', 'chewbacca', 'droids', 'c3po', 'r2d2', 'thrown', 'various', 'stages', 'capture', 'betrayal', 'despair']"
Spider-Man: Across the Spider-Verse,"['Animation', 'Action', 'Adventure', 'Science Fiction']","['reuniting', 'gwen', 'stacy', 'brooklyn', '’', 's', 'fulltime', 'friendly', 'neighborhood', 'spiderman', 'catapulted', 'across', 'multiverse', 'encounters', 'spider', 'society', 'team', 'spiderpeople', 'charged', 'protecting', 'multiverse', '’', 's', 'existence', 'heroes', 'clash', 'handle', 'new', 'threat', 'miles', 'finds', 'pitted', 'spiders', 'must', 'set', 'save', 'loves']"
The Lord of the Rings: The Two Towers,"['Adventure', 'Fantasy', 'Action']","['frodo', 'sam', 'trekking', 'mordor', 'destroy', 'one', 'ring', 'power', 'gimli', 'legolas', 'aragorn', 'search', 'orccaptured', 'merry', 'pippin', 'along', 'nefarious', 'wizard', 'saruman', 'awaits', 'fellowship', 'members', 'orthanc', 'tower', 'isengard']"
The Pianist,"['Drama', 'War']","['true', 'story', 'pianist', 'władysław', 'szpilmans', 'experiences', 'warsaw', 'nazi', 'occupation', 'jews', 'city', 'find', 'forced', 'ghetto', 'szpilman', 'finds', 'work', 'playing', 'café', 'family', 'deported', '1942', 'stays', 'behind', 'works', 'laborer', 'eventually', 'goes', 'hiding', 'ruins', 'wartorn', 'city']"
Whiplash,"['Drama', 'Music']","['direction', 'ruthless', 'instructor', 'talented', 'young', 'drummer', 'begins', 'pursue', 'perfection', 'cost', 'even', 'humanity']"
Se7en,"['Crime', 'Mystery', 'Thriller']","['two', 'homicide', 'detectives', 'desperate', 'hunt', 'serial', 'killer', 'whose', 'crimes', 'based', 'seven', 'deadly', 'sins', 'dark', 'haunting', 'film', 'takes', 'viewers', 'tortured', 'remains', 'one', 'victim', 'next', 'seasoned', 'det', 'sommerset', 'researches', 'sin', 'effort', 'get', 'inside', 'killers', 'mind', 'novice', 'partner', 'mills', 'scoffs', 'efforts', 'unravel', 'case']"
The Quintessential Quintuplets Movie,"['Animation', 'Comedy', 'Romance']","['five', 'lovely', 'young', 'girls', 'hate', 'studying', 'hire', 'parttime', 'tutor', 'futaro', 'guides', 'education', 'also', 'hearts', 'time', 'spent', 'brought', 'closer', 'feelings', 'growing', 'within', 'girls', 'futaro', 'finish', 'third', 'year', 'high', 'school', 'last', 'school', 'festival', 'approaches', 'set', 'sights', 'what', '’', 's', 'next', 'future', 'one', 'futaro']"
Inception,"['Action', 'Science Fiction', 'Adventure']","['cobb', 'skilled', 'thief', 'commits', 'corporate', 'espionage', 'infiltrating', 'subconscious', 'targets', 'offered', 'chance', 'regain', 'old', 'life', 'payment', 'task', 'considered', 'impossible', 'inception', 'implantation', 'another', 'persons', 'idea', 'targets', 'subconscious']"
Rear Window,"['Thriller', 'Mystery']","['wheelchairbound', 'photographer', 'spies', 'neighbors', 'apartment', 'window', 'becomes', 'convinced', 'one', 'committed', 'murder']"
"The Boy, the Mole, the Fox and the Horse","['Animation', 'Family', 'Adventure', 'Fantasy']","['unlikely', 'friendship', 'boy', 'mole', 'fox', 'horse', 'traveling', 'together', 'boy', '’', 's', 'search', 'home']"
Hotarubi no Mori e,"['Romance', 'Animation', 'Fantasy']","['one', 'hot', 'summer', 'day', 'little', 'girl', 'gets', 'lost', 'enchanted', 'forest', 'mountain', 'god', 'spirits', 'reside', 'young', 'boy', 'appears', 'can', 'not', 'touch', 'fear', 'making', 'disappear', 'wondrous', 'adventure', 'awaits']"
American History X,['Drama'],"['derek', 'vineyard', 'paroled', 'serving', '3', 'years', 'prison', 'killing', 'two', 'africanamerican', 'men', 'brother', 'danny', 'vineyards', 'narration', 'learn', 'going', 'prison', 'derek', 'skinhead', 'leader', 'violent', 'white', 'supremacist', 'gang', 'committed', 'acts', 'racial', 'crime', 'throughout', 'la', 'actions', 'greatly', 'influenced', 'danny', 'reformed', 'fresh', 'prison', 'derek', 'severs', 'contact', 'gang', 'becomes', 'determined', 'keep', 'danny', 'going', 'violent', 'path']"
The Silence of the Lambs,"['Crime', 'Drama', 'Thriller']","['clarice', 'starling', 'top', 'student', 'fbis', 'training', 'academy', 'jack', 'crawford', 'wants', 'clarice', 'interview', 'dr', 'hannibal', 'lecter', 'brilliant', 'psychiatrist', 'also', 'violent', 'psychopath', 'serving', 'life', 'behind', 'bars', 'various', 'acts', 'murder', 'cannibalism', 'crawford', 'believes', 'lecter', 'may', 'insight', 'case', 'starling', 'attractive', 'young', 'woman', 'may', 'bait', 'draw']"
Princess Mononoke,"['Adventure', 'Fantasy', 'Animation']","['ashitaka', 'prince', 'disappearing', 'emishi', 'people', 'cursed', 'demonized', 'boar', 'god', 'must', 'journey', 'west', 'find', 'cure', 'along', 'way', 'encounters', 'san', 'young', 'human', 'woman', 'fighting', 'protect', 'forest', 'lady', 'eboshi', 'trying', 'destroy', 'ashitaka', 'must', 'find', 'way', 'bring', 'balance', 'conflict']"
The Great Dictator,"['Comedy', 'War']","['dictator', 'adenoid', 'hynkel', 'tries', 'expand', 'empire', 'poor', 'jewish', 'barber', 'tries', 'avoid', 'persecution', 'hynkels', 'regime']"
There’s Still Tomorrow,"['Comedy', 'Drama']","['delia', 'typical', 'housewife', 'postwar', 'italy', 'whose', 'family', 'turmoil', 'impending', 'engagement', 'beloved', 'firstborn', 'marcella', 'arrival', 'mysterious', 'letter', 'however', 'ignite', 'delias', 'courage', 'face', 'abusive', 'husband', 'imagine', 'better', 'future']"
Neon Genesis Evangelion: The End of Evangelion,"['Animation', 'Science Fiction', 'Action', 'Drama']","['second', 'two', 'theatrically', 'released', 'followups', 'neon', 'genesis', 'evangelion', 'series', 'comprising', 'two', 'alternate', 'episodes', 'first', 'intended', 'take', 'place', 'episodes', '25', '26', 'finale', 'answers', 'many', 'questions', 'surrounding', 'series', 'also', 'opening', 'new', 'possibilities']"
Sunset Boulevard,['Drama'],"['hack', 'screenwriter', 'writes', 'screenplay', 'former', 'silent', 'film', 'star', 'faded', 'hollywood', 'obscurity']"
Ikiru,['Drama'],"['kanji', 'watanabe', 'middleaged', 'man', 'worked', 'monotonous', 'bureaucratic', 'position', 'decades', 'learning', 'cancer', 'starts', 'look', 'meaning', 'life']"
"Josee, the Tiger and the Fish","['Animation', 'Drama', 'Romance']","['dreams', 'diving', 'abroad', 'tsuneo', 'gets', 'job', 'assisting', 'josee', 'artist', 'whose', 'imagination', 'takes', 'far', 'beyond', 'wheelchair', 'tide', 'turns', 'push', 'places', 'never', 'thought', 'possible', 'inspire', 'love', 'fit', 'storybook']"
Dedicated to my ex,"['Drama', 'Comedy']","['film', 'tells', 'story', 'ariel', '21yearold', 'decides', 'form', 'rock', 'band', 'compete', 'prize', 'ten', 'thousand', 'dollars', 'musical', 'band', 'contest', 'last', 'option', 'trying', 'get', 'money', 'save', 'relationship', 'reunite', 'exgirlfriend', 'breaks', 'due', 'trip', 'must', 'make', 'finland', 'internship', 'ariel', 'friend', 'ortega', 'decides', 'make', 'casting', 'find', 'members', 'band', 'although', 'know', 'nothing', 'music', 'thus', 'forming', 'band', 'members', 'diverse', 'opposite', 'personalities']"
Back to the Future,"['Adventure', 'Comedy', 'Science Fiction']","['eighties', 'teenager', 'marty', 'mcfly', 'accidentally', 'sent', 'back', 'time', '1955', 'inadvertently', 'disrupting', 'parents', 'first', 'meeting', 'attracting', 'mothers', 'romantic', 'interest', 'marty', 'must', 'repair', 'damage', 'history', 'rekindling', 'parents', 'romance', 'help', 'eccentric', 'inventor', 'friend', 'doc', 'brown', 'return', '1985']"
Léon: The Professional,"['Crime', 'Drama', 'Action']","['léon', 'top', 'hit', 'man', 'new', 'york', 'earned', 'rep', 'effective', 'cleaner', 'nextdoor', 'neighbors', 'wiped', 'loosecannon', 'dea', 'agent', 'becomes', 'unwilling', 'custodian', '12yearold', 'mathilda', 'long', 'mathildas', 'thoughts', 'turn', 'revenge', 'considers', 'following', 'léons', 'footsteps']"
Dead Poets Society,['Drama'],"['elite', 'oldfashioned', 'boarding', 'school', 'new', 'england', 'passionate', 'english', 'teacher', 'inspires', 'students', 'rebel', 'convention', 'seize', 'potential', 'every', 'day', 'courting', 'disdain', 'stern', 'headmaster']"
High and Low,"['Crime', 'Drama', 'Mystery', 'Thriller']","['shoe', 'company', 'executive', 'mortgaged', 'everything', 'becomes', 'victim', 'extortion', 'chauffeurs', 'son', 'kidnapped', 'conflicted', 'whether', 'pay', 'ransom']"
Violet Evergarden: The Movie,"['Animation', 'Fantasy', 'Romance', 'Drama']","['world', 'moves', 'war', 'technological', 'advances', 'bring', 'changes', 'life', 'violet', 'still', 'hopes', 'see', 'lost', 'commanding', 'officer']"
Le Trou,"['Drama', 'Thriller', 'Crime']","['four', 'prison', 'inmates', 'hatching', 'plan', 'literally', 'dig', 'jail', 'another', 'prisoner', 'claude', 'gaspard', 'moved', 'cell', 'take', 'risk', 'share', 'plan', 'newcomer', 'course', 'three', 'days', 'prisoners', 'friends', 'break', 'concrete', 'floor', 'using', 'bed', 'post', 'begin', 'make', 'way', 'sewer', 'system', 'yet', 'escape', 'anything', 'assured']"
City Lights,"['Comedy', 'Romance', 'Drama']","['soundera', 'silent', 'film', 'tramp', 'falls', 'love', 'beautiful', 'blind', 'flower', 'seller']"
Modern Times,"['Comedy', 'Drama']","['bumbling', 'tramp', 'desires', 'build', 'home', 'young', 'woman', 'yet', 'thwarted', 'time', 'time', 'lack', 'experience', 'habit', 'wrong', 'place', 'wrong', 'time']"
Come and See,"['Drama', 'War']","['invasion', 'village', 'byelorussia', 'german', 'forces', 'sends', 'young', 'florya', 'forest', 'join', 'weary', 'resistance', 'fighters', 'familys', 'wishes', 'meets', 'girl', 'glasha', 'accompanies', 'back', 'village', 'returning', 'home', 'florya', 'finds', 'family', 'fellow', 'peasants', 'massacred', 'continued', 'survival', 'amidst', 'brutal', 'debris', 'war', 'becomes', 'increasingly', 'nightmarish', 'battle', 'despair', 'hope']"
Perfect Blue,"['Animation', 'Thriller']","['pop', 'singer', 'mima', 'kirigoe', 'looks', 'forward', 'bright', 'new', 'career', 'quits', 'charttopping', 'trio', 'become', 'actress', 'lands', 'role', 'sexually', 'charged', 'murder', 'mystery', 'mima', '’', 's', 'life', 'begins', 'fall', 'apart']"
Once Upon a Time in the West,"['Drama', 'Western']","['railroad', 'builders', 'advance', 'unstoppably', 'arizona', 'desert', 'way', 'sea', 'jill', 'arrives', 'small', 'town', 'flagstone', 'intention', 'starting', 'new', 'life']"
Life in a Year,"['Drama', 'Romance']","['17', 'year', 'old', 'finds', 'girlfriend', 'dying', 'sets', 'give', 'entire', 'life', 'last', 'year', 'left']"
Apocalypse Now,"['Drama', 'War']","['height', 'vietnam', 'war', 'captain', 'benjamin', 'willard', 'sent', 'dangerous', 'mission', 'officially', 'exist', 'ever', 'exist', 'goal', 'locate', 'eliminate', 'mysterious', 'green', 'beret', 'colonel', 'named', 'walter', 'kurtz', 'leading', 'personal', 'army', 'illegal', 'guerrilla', 'missions', 'enemy', 'territory']"
Five Feet Apart,"['Romance', 'Drama']","['seventeenyearold', 'stella', 'spends', 'time', 'hospital', 'cystic', 'fibrosis', 'patient', 'life', 'full', 'routines', 'boundaries', 'selfcontrol', '—', 'get', 'put', 'test', 'meets', 'impossibly', 'charming', 'teen', 'illness', 'theres', 'instant', 'flirtation', 'though', 'restrictions', 'dictate', 'must', 'maintain', 'safe', 'distance', 'connection', 'intensifies', 'temptation', 'throw', 'rules', 'window', 'embrace', 'attraction']"
The Intouchables,"['Drama', 'Comedy']","['true', 'story', 'two', 'men', 'never', 'met', '–', 'quadriplegic', 'aristocrat', 'injured', 'paragliding', 'accident', 'young', 'man', 'projects']"
Paths of Glory,"['Drama', 'War']","['commanding', 'officer', 'defends', 'three', 'scapegoats', 'trial', 'failed', 'offensive', 'occurred', 'within', 'french', 'army', '1916']"
Evangelion: 3.0+1.0 Thrice Upon a Time,"['Animation', 'Action', 'Science Fiction', 'Drama']","['aftermath', 'fourth', 'impact', 'stranded', 'without', 'evangelions', 'shinji', 'asuka', 'rei', 'find', 'refuge', 'one', 'rare', 'pockets', 'humanity', 'still', 'exist', 'ruined', 'planet', 'earth', 'lives', 'life', 'far', 'different', 'days', 'evangelion', 'pilot', 'however', 'danger', 'world', 'far', 'new', 'impact', 'looming', 'horizon—one', 'prove', 'true', 'end', 'evangelion']"
Woman in the Dunes,"['Drama', 'Thriller']","['entomologist', 'suffers', 'extreme', 'psychological', 'sexual', 'torture', 'taken', 'captive', 'residents', 'poor', 'seaside', 'village']"
Miracle in Cell No. 7,['Drama'],"['separated', 'daughter', 'father', 'intellectual', 'disability', 'must', 'prove', 'innocence', 'jailed', 'death', 'commanders', 'child']"
Given,"['Animation', 'Drama', 'Music', 'Romance']","['relationship', 'bands', 'bassist', 'drummer', 'drummer', '’', 's', 'roommate', 'exboyfriend', 'professional', 'violinist']"
Clouds,"['Music', 'Drama', 'Romance']","['young', 'musician', 'zach', 'sobiech', 'discovers', 'cancer', 'spread', 'leaving', 'months', 'live', 'limited', 'time', 'follows', 'dream', 'makes', 'album', 'unaware', 'soon', 'viral', 'music', 'phenomenon']"
Oldboy,"['Drama', 'Thriller', 'Mystery', 'Action']","['clue', 'came', 'imprisoned', 'drugged', 'tortured', '15', 'years', 'desperate', 'businessman', 'seeks', 'revenge', 'captors']"
We All Loved Each Other So Much,"['Drama', 'Comedy']","['three', 'partisans', 'bound', 'strong', 'friendship', 'return', 'home', 'war', 'clash', 'everyday', 'reality', 'puts', 'strain', 'bond']"
The Legend of 1900,"['Drama', 'Music']","['story', 'virtuoso', 'piano', 'player', 'lives', 'entire', 'life', 'aboard', 'ocean', 'liner', 'born', 'raised', 'ship', '1900', 'tim', 'roth', 'learned', 'outside', 'world', 'interactions', 'passengers', 'never', 'setting', 'foot', 'land', 'even', 'love', 'life', 'years', 'later', 'ship', 'may', 'destroyed', 'former', 'band', 'member', 'fears', '1900', 'may', 'still', 'aboard', 'willing', 'go', 'ship']"
